id;data;depoimento;depoimento_en
1;01/01/2023;"Ambiente aconchegante e atendimento simpático; comida saborosa.";"Cozy atmosphere and friendly service; tasty food."
2;02/01/2023;Atendimento excelente, mas o tempo de preparo dos pratos é muito longo.;Excellent service, but the preparation time for dishes is too long.
3;03/01/2023;A comida é deliciosa e o serviço é sempre cordial.;The food is delicious and the service is always courteous.
4;04/01/2023;Ótima experiência, com ambiente agradável e equipe atenciosa.;Great experience, with a pleasant atmosphere and attentive staff.
5;05/01/2023;Serviço impecável, porém a demora no preparo compromete a experiência.;Impeccable service, but the delay in preparation affects the experience.
6;06/01/2023;Recomendo pela qualidade dos pratos e simpatia dos funcionários.;I recommend it for the quality of the dishes and the friendliness of the staff.
7;07/01/2023;O restaurante oferece um ótimo atendimento e pratos bem servidos.;The restaurant offers great service and well-served dishes.
8;08/01/2023;O atendimento é bom, mas o preparo dos pratos demora demais.;The service is good, but the preparation of the dishes takes too long.
9;09/01/2023;Local agradável com decoração charmosa e pratos bem apresentados.;Pleasant place with charming decor and well-presented dishes.
10;10/01/2023;A comida tem um sabor único e o ambiente é acolhedor.;The food has a unique taste, and the atmosphere is cozy.
11;11/01/2023;"Ambiente aconchegante e atendimento simpático; comida saborosa.";"Cozy atmosphere and friendly service; tasty food."
12;12/01/2023;Atendimento excelente, mas o tempo de preparo dos pratos é muito longo.;Excellent service, but the preparation time for dishes is too long.
13;13/01/2023;A comida é deliciosa e o serviço é sempre cordial.;The food is delicious and the service is always courteous.
14;14/01/2023;Ótima experiência, com ambiente agradável e equipe atenciosa.;Great experience, with a pleasant atmosphere and attentive staff.
15;15/01/2023;Serviço impecável, porém a demora no preparo compromete a experiência.;Impeccable service, but the delay in preparation affects the experience.
16;16/01/2023;Recomendo pela qualidade dos pratos e simpatia dos funcionários.;I recommend it for the quality of the dishes and the friendliness of the staff.
17;17/01/2023;O restaurante oferece um ótimo atendimento e pratos bem servidos.;The restaurant offers great service and well-served dishes.
18;18/01/2023;O atendimento é bom, mas o preparo dos pratos demora demais.;The service is good, but the preparation of the dishes takes too long.
19;19/01/2023;Local agradável com decoração charmosa e pratos bem apresentados.;Pleasant place with charming decor and well-presented dishes.
20;20/01/2023;A comida tem um sabor único e o ambiente é acolhedor.;The food has a unique taste, and the atmosphere is cozy.
21;21/01/2023;"Ambiente aconchegante e atendimento simpático; comida saborosa.";"Cozy atmosphere and friendly service; tasty food."
22;22/01/2023;Atendimento excelente, mas o tempo de preparo dos pratos é muito longo.;Excellent service, but the preparation time for dishes is too long.
23;23/01/2023;A comida é deliciosa e o serviço é sempre cordial.;The food is delicious and the service is always courteous.
24;24/01/2023;Ótima experiência, com ambiente agradável e equipe atenciosa.;Great experience, with a pleasant atmosphere and attentive staff.
